115.597	0.830	0.463	0.644	0.330	-0.076	0.149
115.667	0.833	0.461	0.649	0.331	-0.076	0.152
115.740	0.835	0.459	0.655	0.332	-0.075	0.153
115.807	0.838	0.457	0.660	0.332	-0.074	0.156
115.877	0.840	0.456	0.665	0.333	-0.074	0.157
115.950	0.843	0.454	0.670	0.334	-0.073	0.160
116.023	0.845	0.452	0.675	0.335	-0.073	0.163
116.088	0.847	0.450	0.679	0.336	-0.072	0.164
116.170	0.850	0.448	0.686	0.336	-0.071	0.166
116.255	0.853	0.445	0.692	0.337	-0.071	0.170
116.341	0.856	0.443	0.697	0.338	-0.070	0.172
116.416	0.858	0.441	0.703	0.338	-0.070	0.173
116.502	0.861	0.438	0.709	0.339	-0.069	0.176
116.592	0.864	0.435	0.715	0.339	-0.069	0.179
116.665	0.866	0.433	0.719	0.339	-0.068	0.182
116.744	0.868	0.431	0.725	0.339	-0.068	0.183
116.819	0.871	0.428	0.730	0.339	-0.067	0.186
116.890	0.873	0.426	0.734	0.339	-0.067	0.188
116.960	0.875	0.424	0.739	0.339	-0.066	0.190
117.030	0.877	0.421	0.743	0.339	-0.066	0.193
117.107	0.880	0.419	0.749	0.339	-0.066	0.195
117.183	0.882	0.416	0.754	0.339	-0.065	0.196
117.253	0.884	0.413	0.758	0.339	-0.065	0.198
117.324	0.886	0.411	0.762	0.338	-0.065	0.201
117.399	0.888	0.408	0.767	0.338	-0.065	0.203
117.471	0.890	0.406	0.772	0.338	-0.064	0.203
117.557	0.893	0.402	0.778	0.337	-0.064	0.206
117.636	0.895	0.399	0.782	0.336	-0.064	0.208
117.709	0.897	0.397	0.786	0.336	-0.064	0.211
117.787	0.899	0.394	0.791	0.335	-0.064	0.212
117.869	0.901	0.390	0.796	0.334	-0.063	0.214
117.956	0.904	0.387	0.801	0.333	-0.063	0.217
118.044	0.906	0.383	0.806	0.332	-0.063	0.219
118.113	0.908	0.381	0.811	0.331	-0.063	0.220
118.194	0.910	0.377	0.816	0.330	-0.063	0.221
118.265	0.912	0.374	0.820	0.329	-0.063	0.223
118.341	0.914	0.371	0.825	0.327	-0.063	0.224
118.415	0.916	0.368	0.829	0.326	-0.063	0.225
118.484	0.917	0.365	0.833	0.325	-0.063	0.227
118.568	0.919	0.362	0.837	0.324	-0.063	0.229
118.657	0.922	0.358	0.842	0.322	-0.063	0.231
118.735	0.924	0.354	0.848	0.320	-0.063	0.230
118.811	0.925	0.351	0.851	0.319	-0.063	0.232
118.880	0.927	0.348	0.856	0.317	-0.063	0.232
118.957	0.929	0.344	0.860	0.315	-0.063	0.233
119.027	0.930	0.341	0.864	0.313	-0.063	0.234
119.110	0.932	0.337	0.868	0.311	-0.063	0.236
119.195	0.934	0.333	0.873	0.309	-0.063	0.236
119.272	0.936	0.330	0.878	0.307	-0.063	0.236
119.351	0.938	0.326	0.881	0.305	-0.063	0.238
119.432	0.939	0.322	0.886	0.302	-0.063	0.236
119.514	0.941	0.318	0.891	0.300	-0.064	0.237
119.589	0.943	0.314	0.894	0.297	-0.064	0.237
119.667	0.944	0.311	0.899	0.295	-0.064	0.238
119.739	0.946	0.307	0.902	0.292	-0.064	0.239
119.818	0.947	0.303	0.906	0.290	-0.064	0.237
119.899	0.949	0.299	0.910	0.287	-0.064	0.238
119.977	0.951	0.295	0.915	0.284	-0.065	0.237
120.044	0.952	0.292	0.918	0.281	-0.065	0.236
120.123	0.953	0.288	0.921	0.279	-0.065	0.237
120.207	0.955	0.283	0.926	0.275	-0.065	0.235
120.286	0.956	0.279	0.930	0.272	-0.066	0.236
120.371	0.958	0.275	0.934	0.268	-0.066	0.234
120.447	0.959	0.271	0.937	0.265	-0.066	0.234
120.519	0.961	0.267	0.941	0.262	-0.066	0.233
120.586	0.962	0.263	0.944	0.259	-0.066	0.231
120.668	0.963	0.259	0.948	0.255	-0.067	0.229
120.743	0.964	0.255	0.952	0.252	-0.067	0.228
120.821	0.966	0.251	0.955	0.248	-0.067	0.227
120.907	0.967	0.246	0.958	0.245	-0.067	0.227
120.975	0.968	0.242	0.962	0.240	-0.068	0.223
121.050	0.969	0.238	0.965	0.237	-0.068	0.223
121.125	0.971	0.234	0.968	0.233	-0.068	0.221
121.210	0.972	0.229	0.972	0.229	-0.068	0.219
121.296	0.973	0.224	0.975	0.224	-0.069	0.217
121.361	0.974	0.221	0.977	0.221	-0.069	0.217
121.431	0.975	0.217	0.981	0.217	-0.069	0.214
121.506	0.976	0.213	0.983	0.213	-0.069	0.212
121.571	0.977	0.209	0.986	0.210	-0.070	0.211
121.646	0.978	0.205	0.989	0.205	-0.070	0.208
121.725	0.979	0.200	0.991	0.201	-0.070	0.207
121.807	0.980	0.195	0.995	0.196	-0.070	0.204
121.883	0.981	0.191	0.997	0.192	-0.070	0.203
121.969	0.982	0.186	1.000	0.186	-0.071	0.200
122.054	0.983	0.181	1.003	0.181	-0.071	0.197
122.144	0.984	0.176	1.006	0.176	-0.071	0.195
122.230	0.985	0.171	1.009	0.170	-0.071	0.191
122.316	0.986	0.165	1.011	0.165	-0.072	0.190
122.405	0.987	0.160	1.014	0.160	-0.072	0.188
122.490	0.988	0.155	1.016	0.154	-0.072	0.185
122.571	0.988	0.150	1.019	0.148	-0.072	0.181
122.647	0.989	0.146	1.021	0.143	-0.072	0.179
122.729	0.990	0.141	1.023	0.138	-0.072	0.176
122.794	0.990	0.137	1.025	0.134	-0.073	0.175
122.875	0.991	0.132	1.027	0.129	-0.073	0.173
122.957	0.992	0.127	1.029	0.123	-0.073	0.170
123.044	0.992	0.122	1.031	0.118	-0.073	0.168
123.125	0.993	0.117	1.033	0.111	-0.073	0.164
123.206	0.994	0.112	1.034	0.107	-0.073	0.163
123.285	0.994	0.107	1.036	0.101	-0.073	0.161
123.364	0.995	0.102	1.038	0.095	-0.073	0.157
123.447	0.995	0.097	1.039	0.090	-0.074	0.156
123.521	0.996	0.092	1.040	0.085	-0.074	0.154
123.595	0.996	0.088	1.042	0.079	-0.074	0.150
123.681	0.997	0.082	1.044	0.073	-0.074	0.148
123.772	0.997	0.077	1.045	0.067	-0.074	0.146
123.851	0.997	0.072	1.046	0.062	-0.074	0.145
123.928	0.998	0.067	1.047	0.055	-0.074	0.142
124.007	0.998	0.062	1.049	0.049	-0.074	0.140
124.093	0.998	0.057	1.050	0.044	-0.074	0.139
124.174	0.999	0.052	1.051	0.037	-0.074	0.136
124.255	0.999	0.047	1.052	0.032	-0.074	0.135
124.345	0.999	0.041	1.053	0.026	-0.074	0.133
124.424	0.999	0.036	1.054	0.020	-0.074	0.131
124.506	1.000	0.031	1.054	0.014	-0.074	0.129
124.588	1.000	0.026	1.055	0.009	-0.074	0.127
124.665	1.000	0.021	1.056	0.002	-0.074	0.125
124.751	1.000	0.016	1.057	-0.003	-0.074	0.125
124.834	1.000	0.010	1.057	-0.009	-0.074	0.122
124.916	1.000	0.005	1.058	-0.016	-0.074	0.120
125.000	1.000	-0.000	1.058	-0.022	-0.074	0.119
125.077	1.000	-0.005	1.059	-0.027	-0.074	0.118
125.152	1.000	-0.010	1.059	-0.033	-0.074	0.116
125.229	1.000	-0.014	1.059	-0.038	-0.074	0.115
125.312	1.000	-0.020	1.060	-0.044	-0.074	0.114
125.386	1.000	-0.024	1.060	-0.049	-0.074	0.113
125.456	1.000	-0.029	1.060	-0.054	-0.074	0.112
125.538	0.999	-0.034	1.060	-0.061	-0.074	0.110
125.613	0.999	-0.038	1.060	-0.065	-0.074	0.110
125.692	0.999	-0.043	1.060	-0.072	-0.074	0.108
125.770	0.999	-0.048	1.060	-0.077	-0.074	0.107
125.847	0.999	-0.053	1.060	-0.082	-0.073	0.106
125.931	0.998	-0.058	1.060	-0.089	-0.073	0.105
126.015	0.998	-0.064	1.060	-0.095	-0.073	0.104
126.097	0.998	-0.069	1.060	-0.101	-0.073	0.102
126.178	0.997	-0.074	1.060	-0.106	-0.073	0.102
126.256	0.997	-0.079	1.059	-0.112	-0.073	0.101
126.327	0.997	-0.083	1.059	-0.117	-0.073	0.100
126.399	0.996	-0.087	1.059	-0.122	-0.073	0.099
126.467	0.996	-0.092	1.058	-0.127	-0.073	0.099
126.538	0.995	-0.096	1.058	-0.132	-0.072	0.098
126.606	0.995	-0.100	1.058	-0.137	-0.072	0.097
126.686	0.994	-0.105	1.057	-0.143	-0.072	0.097
126.749	0.994	-0.109	1.057	-0.147	-0.072	0.096
126.822	0.993	-0.113	1.056	-0.152	-0.072	0.096
126.893	0.993	-0.118	1.056	-0.157	-0.072	0.096
126.977	0.992	-0.123	1.055	-0.163	-0.072	0.095
127.062	0.992	-0.128	1.054	-0.169	-0.072	0.094
127.155	0.991	-0.134	1.053	-0.175	-0.071	0.094
127.237	0.990	-0.139	1.053	-0.182	-0.071	0.093
127.321	0.989	-0.144	1.052	-0.188	-0.071	0.092
127.405	0.989	-0.149	1.051	-0.193	-0.071	0.092
127.493	0.988	-0.154	1.050	-0.199	-0.071	0.092
127.579	0.987	-0.159	1.049	-0.205	-0.070	0.092
127.664	0.986	-0.164	1.048	-0.211	-0.070	0.091
127.755	0.985	-0.170	1.047	-0.216	-0.070	0.091
127.840	0.984	-0.175	1.046	-0.222	-0.070	0.091
127.929	0.983	-0.180	1.045	-0.228	-0.070	0.091
128.016	0.982	-0.185	1.044	-0.234	-0.070	0.091
128.107	0.981	-0.190	1.042	-0.240	-0.069	0.091
128.186	0.980	-0.195	1.041	-0.246	-0.069	0.091
128.272	0.979	-0.200	1.040	-0.251	-0.069	0.090
128.355	0.978	-0.205	1.038	-0.257	-0.068	0.090
128.443	0.977	-0.210	1.037	-0.262	-0.068	0.091
128.534	0.975	-0.215	1.036	-0.268	-0.068	0.092
128.627	0.974	-0.220	1.034	-0.274	-0.068	0.092
128.717	0.973	-0.225	1.033	-0.280	-0.068	0.092
128.802	0.972	-0.230	1.031	-0.286	-0.067	0.092
128.883	0.970	-0.234	1.030	-0.290	-0.067	0.093
128.972	0.969	-0.239	1.028	-0.296	-0.067	0.093
129.058	0.968	-0.244	1.027	-0.302	-0.067	0.094
129.141	0.966	-0.249	1.025	-0.307	-0.066	0.094
129.226	0.965	-0.253	1.024	-0.312	-0.066	0.095
129.316	0.963	-0.258	1.022	-0.317	-0.066	0.096
129.402	0.962	-0.263	1.020	-0.323	-0.066	0.096
129.487	0.961	-0.267	1.019	-0.328	-0.065	0.097
129.576	0.959	-0.272	1.017	-0.333	-0.065	0.097
129.663	0.957	-0.277	1.015	-0.338	-0.065	0.098
129.751	0.956	-0.281	1.013	-0.344	-0.064	0.098
129.840	0.954	-0.286	1.011	-0.349	-0.064	0.099
129.925	0.953	-0.290	1.009	-0.354	-0.064	0.099
130.006	0.951	-0.294	1.008	-0.359	-0.064	0.100
130.093	0.949	-0.299	1.006	-0.364	-0.063	0.101
130.183	0.947	-0.303	1.004	-0.369	-0.063	0.102
130.266	0.946	-0.307	1.001	-0.374	-0.063	0.102
130.353	0.944	-0.312	1.000	-0.379	-0.063	0.103
130.441	0.942	-0.316	0.997	-0.383	-0.062	0.104
130.528	0.940	-0.320	0.995	-0.388	-0.062	0.105
130.596	0.939	-0.323	0.994	-0.392	-0.062	0.106
130.654	0.938	-0.326	0.992	-0.395	-0.062	0.106
130.737	0.936	-0.330	0.990	-0.400	-0.061	0.107
130.827	0.934	-0.334	0.988	-0.405	-0.061	0.108
130.906	0.932	-0.338	0.985	-0.409	-0.061	0.109
130.961	0.931	-0.340	0.984	-0.412	-0.061	0.109
131.043	0.929	-0.344	0.982	-0.416	-0.060	0.111
131.118	0.927	-0.348	0.980	-0.421	-0.060	0.111
131.198	0.925	-0.351	0.978	-0.424	-0.060	0.112
131.278	0.923	-0.355	0.975	-0.429	-0.060	0.113
131.364	0.921	-0.359	0.973	-0.433	-0.059	0.114
131.447	0.919	-0.362	0.971	-0.437	-0.059	0.116
131.527	0.917	-0.366	0.969	-0.441	-0.059	0.117
131.614	0.915	-0.369	0.966	-0.445	-0.059	0.118
131.702	0.913	-0.373	0.963	-0.450	-0.058	0.119
131.789	0.910	-0.377	0.961	-0.454	-0.058	0.121
131.863	0.908	-0.380	0.959	-0.457	-0.058	0.122
131.939	0.906	-0.383	0.957	-0.461	-0.058	0.124
132.015	0.904	-0.386	0.954	-0.465	-0.057	0.124
132.095	0.902	-0.389	0.952	-0.468	-0.057	0.126
132.176	0.900	-0.392	0.949	-0.472	-0.057	0.127
132.247	0.898	-0.395	0.947	-0.475	-0.057	0.128
132.321	0.896	-0.398	0.944	-0.479	-0.057	0.129
132.405	0.894	-0.401	0.942	-0.483	-0.056	0.131
132.492	0.891	-0.404	0.939	-0.487	-0.056	0.132
132.577	0.889	-0.407	0.936	-0.490	-0.056	0.134
132.640	0.887	-0.410	0.934	-0.493	-0.056	0.135
132.721	0.885	-0.413	0.932	-0.496	-0.056	0.137
132.810	0.882	-0.416	0.929	-0.500	-0.056	0.139
132.898	0.879	-0.419	0.926	-0.504	-0.055	0.141
132.989	0.877	-0.422	0.922	-0.508	-0.055	0.142
133.073	0.874	-0.425	0.920	-0.511	-0.055	0.145
133.161	0.871	-0.427	0.917	-0.514	-0.055	0.146
